Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-09-29 09:30:00-04:00,250.0,254.6699981689453,248.60000610351562,252.5500030517578,39033504,0.0,0.0
2023-09-29 10:30:00-04:00,252.57000732421875,254.16000366210938,251.24000549316406,251.28599548339844,19564383,0.0,0.0
2023-09-29 11:30:00-04:00,251.30999755859375,252.49000549316406,250.72000122070312,251.97999572753906,14690602,0.0,0.0
2023-09-29 12:30:00-04:00,252.0,252.6300048828125,248.0,249.23500061035156,14767181,0.0,0.0
2023-09-29 13:30:00-04:00,249.2100067138672,249.47999572753906,246.35000610351562,248.1199951171875,14585894,0.0,0.0
2023-09-29 14:30:00-04:00,248.13999938964844,250.60000610351562,247.6199951171875,250.0399932861328,13932031,0.0,0.0
2023-09-29 15:30:00-04:00,250.05799865722656,251.14999389648438,249.5301055908203,250.22999572753906,8616112,0.0,0.0
2023-10-02 09:30:00-04:00,244.80999755859375,250.77999877929688,242.6199951171875,248.10240173339844,40207030,0.0,0.0
2023-10-02 10:30:00-04:00,248.14999389648438,254.19000244140625,247.4019012451172,254.07000732421875,20227976,0.0,0.0
2023-10-02 11:30:00-04:00,254.07000732421875,254.2799072265625,251.07000732421875,252.16000366210938,15427957,0.0,0.0
2023-10-02 12:30:00-04:00,252.16000366210938,253.1199951171875,248.52999877929688,250.2899932861328,14364033,0.0,0.0
2023-10-02 13:30:00-04:00,250.32000732421875,250.57000732421875,248.10000610351562,248.83200073242188,11596394,0.0,0.0
2023-10-02 14:30:00-04:00,248.86000061035156,250.60000610351562,247.8800048828125,249.98989868164062,11577517,0.0,0.0
2023-10-02 15:30:00-04:00,249.9700927734375,251.75,249.8350067138672,251.61720275878906,7312341,0.0,0.0
2023-10-03 09:30:00-04:00,248.61000061035156,250.02000427246094,246.08009338378906,247.4499969482422,32417376,0.0,0.0
2023-10-03 10:30:00-04:00,247.47999572753906,248.0,244.4499969482422,246.8699951171875,17609045,0.0,0.0
2023-10-03 11:30:00-04:00,246.86000061035156,249.74000549316406,246.25,249.06500244140625,13575714,0.0,0.0
